split,plant_family,task,n_samples,accuracy,f1,trajectory_rmse,trajectory_mae,mean_baseline_trajectory_rmse,knn_baseline_trajectory_rmse
test,fast_dynamics_family,classifier,34704,0.8821173351775011,0.8975739215342631,,,,
test,first_order,classifier,34488,1.0,1.0,,,,
test,fourth_order_mixed_complex,classifier,35064,0.6714293862651152,0.6322576526540905,,,,
test,fourth_order_real,classifier,34704,0.6921680497925311,0.7323294329883991,,,,
test,highly_resonant_second_order,classifier,34632,0.7968641718641719,0.8468021166786438,,,,
test,near_integrator,classifier,34164,0.9411075986418452,0.9682879929388771,,,,
test,overdamped_second_order,classifier,34416,0.8928695955369595,0.9307358494110575,,,,
test,second_order,classifier,34560,0.8502604166666666,0.879631567929663,,,,
test,slow_dynamics_family,classifier,34164,0.7417456972251493,0.7539255333984103,,,,
test,third_order_mixed_real_complex,classifier,34236,0.750788643533123,0.7560333981470891,,,,
test,third_order_real_poles,classifier,34848,0.7196969696969697,0.7688485020587817,,,,
test,two_mode_resonant,classifier,34956,0.7300892550635084,0.4243089877356764,,,,
test,underdamped_second_order,classifier,34452,0.7903459886218507,0.8208625778130503,,,,
test,weakly_resonant_third_order,classifier,34488,0.7172929714683368,0.6774940460439269,,,,
test,fast_dynamics_family,regressor,21446,,,0.17745883430638376,0.08764742566331966,0.3444741067415459,0.2678807142298095
test,first_order,regressor,34488,,,0.06372320178330187,0.030812114602607098,0.32742721612324827,0.17853600032811306
test,fourth_order_mixed_complex,regressor,20340,,,0.26107341792053923,0.16210135194771566,0.4577396263471538,0.5006882160540881
test,fourth_order_real,regressor,24094,,,0.18984936760735513,0.10544508112337464,0.5044909363259718,0.42706300861525714
test,highly_resonant_second_order,regressor,26460,,,0.1756097323730406,0.09385364950559216,0.34663637623006555,0.296526922376156
test,near_integrator,regressor,31131,,,0.09269982112844768,0.05253001245474538,0.45464433723217906,0.2581709392146164
test,overdamped_second_order,regressor,27339,,,0.17316526094864607,0.09084935323675512,0.46429061775258773,0.44275722931238987
test,second_order,regressor,23813,,,0.1565949003059028,0.08312756856175756,0.42977692033770326,0.40850021023037336
test,slow_dynamics_family,regressor,21332,,,0.10287235933843417,0.05272704101501461,0.560599196618969,0.34575477612602473
test,third_order_mixed_real_complex,regressor,21191,,,0.21663829741156762,0.12760149259946643,0.43690616001258287,0.4487957577226474
test,third_order_real_poles,regressor,25510,,,0.18709535163674232,0.10273715189623861,0.4763732558628533,0.44128972467814215
test,two_mode_resonant,regressor,12466,,,0.2505881796076253,0.1642256783992825,0.44041419030160245,0.44858715793414183
test,underdamped_second_order,regressor,23746,,,0.15227584533259453,0.0826812637471755,0.38987047876836417,0.36612747543842256
test,weakly_resonant_third_order,regressor,19655,,,0.21831840035600805,0.1303097417885279,0.3759104874205031,0.37207065793582916
ood_test,lightly_damped_second_order,classifier,230364,0.7624976124741714,0.80337106918239,,,,
ood_test,lightly_damped_second_order,regressor,166445,,,0.16794350030022434,0.09270697774133348,0.3603297413055677,0.3364275763844978
