split,plant_family,task,n_samples,accuracy,f1,trajectory_rmse,trajectory_mae,baseline_trajectory_rmse
test,first_order,classifier,9792,0.9994893790849673,0.9997444154781986,,,
test,overdamped_second_order,classifier,9504,0.9164562289562289,0.9399758088902328,,,
test,second_order,classifier,9664,0.9385347682119205,0.9545732639951056,,,
test,third_order_mixed_real_complex,classifier,9696,0.883147689768977,0.8798387952062785,,,
test,third_order_real_poles,classifier,9440,0.8759533898305085,0.8797864695616466,,,
test,underdamped_second_order,classifier,9664,0.9011796357615894,0.925559279756801,,,
test,weakly_resonant_third_order,classifier,9504,0.8713173400673401,0.8646375207526287,,,
test,first_order,regressor,9784,,,0.024794498458504677,0.01179280411452055,0.2607998251914978
test,overdamped_second_order,regressor,7006,,,0.07316432893276215,0.03385845199227333,0.3847395181655884
test,second_order,regressor,6826,,,0.09226536005735397,0.03993880748748779,0.3567843437194824
test,third_order_mixed_real_complex,regressor,5186,,,0.10956085473299026,0.05718191713094711,0.4053723216056824
test,third_order_real_poles,regressor,5375,,,0.10380113124847412,0.05414322763681412,0.4529275894165039
test,underdamped_second_order,regressor,6827,,,0.10678202658891678,0.04640945419669151,0.3394196927547455
test,weakly_resonant_third_order,regressor,5007,,,0.12185824662446976,0.06072612479329109,0.3763534128665924
ood_test,lightly_damped_second_order,classifier,63744,0.8745293674698795,0.9027835176856691,,,
ood_test,lightly_damped_second_order,regressor,43057,,,0.13437117636203766,0.06868837773799896,0.34480413794517517
