split,plant_family,task,n_samples,accuracy,f1,trajectory_rmse,trajectory_mae,mean_baseline_trajectory_rmse,knn_baseline_trajectory_rmse
test,fast_dynamics_family,classifier,180,0.6222222222222222,0.6494845360824743,,,,
test,first_order,classifier,162,0.9876543209876543,0.9937106918238994,,,,
test,fourth_order_mixed_complex,classifier,180,0.6722222222222223,0.556390977443609,,,,
test,fourth_order_real,classifier,180,0.5944444444444444,0.5228758169934641,,,,
test,highly_resonant_second_order,classifier,198,0.7171717171717171,0.8068965517241379,,,,
test,near_integrator,classifier,162,0.8641975308641975,0.8888888888888888,,,,
test,overdamped_second_order,classifier,180,0.85,0.918918918918919,,,,
test,second_order,classifier,180,0.7166666666666667,0.7649769585253456,,,,
test,slow_dynamics_family,classifier,180,0.7555555555555555,0.7731958762886598,,,,
test,third_order_mixed_real_complex,classifier,198,0.6212121212121212,0.6341463414634146,,,,
test,third_order_real_poles,classifier,144,0.6041666666666666,0.5777777777777777,,,,
test,two_mode_resonant,classifier,180,0.6722222222222223,0.16901408450704225,,,,
test,underdamped_second_order,classifier,180,0.6666666666666666,0.7478991596638656,,,,
test,weakly_resonant_third_order,classifier,126,0.5634920634920635,0.5925925925925926,,,,
test,fast_dynamics_family,regressor,108,,,0.1847322274847068,0.1053150459572121,0.33381783771615386,0.2504971813875154
test,first_order,regressor,160,,,0.11822343092573782,0.07518504587809245,0.32761603321281296,0.19027314445751317
test,fourth_order_mixed_complex,regressor,78,,,0.37214714273167454,0.2781439991486378,0.4502123260239527,0.5721968333308418
test,fourth_order_real,regressor,107,,,0.3821356403095588,0.26594431464174456,0.5006327813409628,0.5179046926648406
test,highly_resonant_second_order,regressor,142,,,0.24934074769437664,0.1572984120543574,0.37366520499997075,0.3450336709754414
test,near_integrator,regressor,99,,,0.13789266583574536,0.09742304329920297,0.46789406544099843,0.2210347220805913
test,overdamped_second_order,regressor,160,,,0.2686830144393761,0.17945775349934895,0.40846605648117434,0.4079910795445848
test,second_order,regressor,124,,,0.32089319606879346,0.23625662198630712,0.46308713283012515,0.4703247343448111
test,slow_dynamics_family,regressor,98,,,0.2746901418445756,0.19152605744446216,0.5666160051002179,0.3837272066975321
test,third_order_mixed_real_complex,regressor,137,,,0.29102631103418974,0.20053895973521138,0.4117463655257282,0.4432586556892125
test,third_order_real_poles,regressor,90,,,0.3770243812784716,0.28469999638310184,0.4994421303685692,0.5434167191812963
test,two_mode_resonant,regressor,64,,,0.43849581601833826,0.33097301801045736,0.5044288121871455,0.5683954810770252
test,underdamped_second_order,regressor,142,,,0.25086187953648775,0.15576316869314846,0.369793504456767,0.3752284225587438
test,weakly_resonant_third_order,regressor,66,,,0.256861195534486,0.18060542251124526,0.3722245612977491,0.3594724988129305
ood_test,lightly_damped_second_order,classifier,1152,0.7421875,0.791578947368421,,,,
ood_test,lightly_damped_second_order,regressor,746,,,0.24096231646660224,0.16261674459967046,0.3496281183583648,0.35380019040188865
