split,sample_id,plant_family,trajectory_rmse
test,33,weakly_resonant_third_order,0.11339443176984787
test,38,weakly_resonant_third_order,0.1204732358455658
test,39,weakly_resonant_third_order,0.11352474987506866
test,40,weakly_resonant_third_order,0.29821449518203735
test,42,weakly_resonant_third_order,0.24063783884048462
test,112,overdamped_second_order,0.07882564514875412
test,113,overdamped_second_order,0.09703966230154037
test,114,overdamped_second_order,0.06894345581531525
test,115,overdamped_second_order,0.07075205445289612
test,116,overdamped_second_order,0.061429936438798904
test,117,overdamped_second_order,0.06142069026827812
test,118,overdamped_second_order,0.04611099883913994
test,119,overdamped_second_order,0.227117657661438
test,120,overdamped_second_order,0.04043449088931084
test,121,overdamped_second_order,0.06334462761878967
test,122,overdamped_second_order,0.09850478172302246
test,123,overdamped_second_order,0.06930427253246307
test,124,overdamped_second_order,0.09130511432886124
test,125,overdamped_second_order,0.05274253711104393
test,126,overdamped_second_order,0.49872565269470215
test,127,overdamped_second_order,0.520431399345398
test,129,third_order_mixed_real_complex,0.11228097230195999
test,130,third_order_mixed_real_complex,0.5390030741691589
test,131,third_order_mixed_real_complex,0.030174927785992622
test,132,third_order_mixed_real_complex,0.08365687727928162
test,135,third_order_mixed_real_complex,0.09867683798074722
test,137,third_order_mixed_real_complex,0.34486526250839233
test,138,third_order_mixed_real_complex,0.39216524362564087
test,140,third_order_mixed_real_complex,0.43636634945869446
test,141,third_order_mixed_real_complex,0.46139848232269287
test,143,third_order_mixed_real_complex,0.41846174001693726
test,161,third_order_mixed_real_complex,0.2016264796257019
test,164,third_order_mixed_real_complex,0.09606894850730896
test,165,third_order_mixed_real_complex,0.1014917865395546
test,166,third_order_mixed_real_complex,0.09959696978330612
test,168,third_order_mixed_real_complex,0.4717356860637665
test,170,third_order_mixed_real_complex,0.30581432580947876
test,174,third_order_mixed_real_complex,0.19597341120243073
test,175,third_order_mixed_real_complex,0.2515398859977722
test,290,weakly_resonant_third_order,0.24644498527050018
test,291,weakly_resonant_third_order,0.09159938246011734
test,294,weakly_resonant_third_order,0.19610345363616943
test,297,weakly_resonant_third_order,0.2095063328742981
test,302,weakly_resonant_third_order,0.48719239234924316
test,303,weakly_resonant_third_order,0.23782067000865936
test,416,overdamped_second_order,0.055564843118190765
test,417,overdamped_second_order,0.14367598295211792
test,418,overdamped_second_order,0.0871150940656662
test,421,overdamped_second_order,0.03688522055745125
test,422,overdamped_second_order,0.1019253134727478
test,423,overdamped_second_order,0.1931457370519638
test,425,overdamped_second_order,0.41080164909362793
test,427,overdamped_second_order,0.44282829761505127
test,428,overdamped_second_order,0.4092223644256592
test,429,overdamped_second_order,0.39915600419044495
test,431,overdamped_second_order,0.3555684983730316
test,448,underdamped_second_order,0.06371185183525085
test,450,underdamped_second_order,0.046210549771785736
test,451,underdamped_second_order,0.11593998223543167
test,453,underdamped_second_order,0.10764743387699127
test,458,underdamped_second_order,0.43073970079421997
test,461,underdamped_second_order,0.39254215359687805
test,462,underdamped_second_order,0.27852508425712585
test,624,third_order_real_poles,0.07061170786619186
test,625,third_order_real_poles,0.19903002679347992
test,626,third_order_real_poles,0.07726986706256866
test,627,third_order_real_poles,0.09650640934705734
test,628,third_order_real_poles,0.06113468110561371
test,630,third_order_real_poles,0.05306069552898407
test,631,third_order_real_poles,0.0701090544462204
test,632,third_order_real_poles,0.3902309238910675
test,635,third_order_real_poles,0.5885372161865234
test,636,third_order_real_poles,0.6141904592514038
test,637,third_order_real_poles,0.576391339302063
test,638,third_order_real_poles,0.40451642870903015
test,640,underdamped_second_order,0.04810510203242302
test,641,underdamped_second_order,0.032160334289073944
test,642,underdamped_second_order,0.045431505888700485
test,643,underdamped_second_order,0.03569280356168747
test,644,underdamped_second_order,0.10061181336641312
test,645,underdamped_second_order,0.056368835270404816
test,646,underdamped_second_order,0.03292292356491089
test,647,underdamped_second_order,0.2149481326341629
test,648,underdamped_second_order,0.17952442169189453
test,649,underdamped_second_order,0.03897770494222641
test,650,underdamped_second_order,0.07648095488548279
test,651,underdamped_second_order,0.0607212670147419
test,652,underdamped_second_order,0.03425988182425499
test,653,underdamped_second_order,0.03374393656849861
test,654,underdamped_second_order,0.07144532352685928
test,655,underdamped_second_order,0.03984157741069794
test,816,underdamped_second_order,0.1706593632698059
test,817,underdamped_second_order,0.05859225615859032
